Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link,ceo_indian_origin
MGA,Magna International Inc. Common Stock,10422521847.0,Seetarama Kotagiri,"167,000","Aurora, OntarioCanada",1957,Motor Vehicle Parts,"Market Watch,Google Finance","https://www.google.com/finance/quote/MGA:NYSE?hl=en,https://www.marketwatch.com/investing/stock/MGA/company-profile?mod=mw_quote_tab",no
MGEE,MGE Energy Inc,3300240595.0,Jeffrey Keebler,717,"Madison, WisconsinUnited States",2001,,"CNBC,Google Finance","https://www.google.com/finance/quote/MGEE:NASDAQ?hl=en,https://www.cnbc.com/quotes/MGEE",no
MGF,MFS Government Markets Income Trust Common Stock,99911010.0,,,"111 Huntington Avenue, 24th Floor Boston, MA 02199 United States",1987,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MGF,https://www.google.com/finance/quote/MGF:NYSE?hl=en",
MGIC,Magic Software Enterprises Ltd. Ordinary Shares,777241998.0,Guy Bernstein CPA,"3,787","Or Yehuda, Tel Aviv DistrictIsrael",1983,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MGIC,https://www.google.com/finance/quote/MGIC:NASDAQ?hl=en",no
MGIH,Millennium Group International Holdings Limited Ordinary Shares,16762500.0,,498,"Rm 2722 27/F, No.1 Hung To Road, Kwun Tong, Kowloon 999077 Hong Kong",1978,,"CNBC,Google Finance","https://www.google.com/finance/quote/MGIH:NASDAQ?hl=en,https://www.cnbc.com/quotes/MGIH",
MGLD,The Marygold Companies Inc. Common Stock,36955265.0,Nicholas Gerber,,"120 CALLE IGLESIA, UNIT B San Clemente, CA 92672 United States",,,CNBC,https://www.cnbc.com/quotes/MGLD,no
MGM,MGM Resorts International Common Stock,8613520598.0,,"69,000","Las Vegas, NevadaUnited States","Jan 29, 1986",,Google Finance,https://www.google.com/finance/quote/MGM:NYSE?hl=en,
MGNI,Magnite Inc. Common Stock,2308568745.0,Frank AddanteMichael G. Barrett,905,"1250 Broadway, 15Th Floor New York, NY 10001 United States","Apr 20, 2007",,"CNBC,Google Finance","https://www.cnbc.com/quotes/MGNI,https://www.google.com/finance/quote/MGNI:NASDAQ?hl=en",no
MGNX,MacroGenics Inc. Common Stock,85802839.0,,341,"Rockville, MarylandUnited States",2000,,Google Finance,https://www.google.com/finance/quote/MGNX:NASDAQ?hl=en,
MGPI,MGP Ingredients Inc.,625815062.0,,660,"Atchison, KansasUnited States",1847,,Google Finance,https://www.google.com/finance/quote/MGPI:NASDAQ?hl=en,
MGR,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,579949336.0,,"4,100","West Palm Beach, FloridaUnited States",1993,,Google Finance,https://www.google.com/finance/quote/MGR:NYSE?hl=en,
MGRB,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,464812335.0,,"4,100","West Palm Beach, FloridaUnited States",1993,,Google Finance,https://www.google.com/finance/quote/MGRB:NYSE?hl=en,
MGRC,McGrath RentCorp Common Stock,2765821153.0,Joseph F Hanna,"1,219","Livermore, CaliforniaUnited States",1979,,Google Finance,https://www.google.com/finance/quote/MGRC:NASDAQ?hl=en,no
MGRD,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,419894691.0,,"4,100","West Palm Beach, FloridaUnited States",1993,,Google Finance,https://www.google.com/finance/quote/MGRD:NYSE?hl=en,
MGRE,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 2064,663245980.0,,"4,100","West Palm Beach, FloridaUnited States",1993,,Google Finance,https://www.google.com/finance/quote/MGRE:NYSE?hl=en,
MGRM,Monogram Technologies Inc. Common Stock,86007911.0,Benjamin Sexson,27,"53 BRIDGE STREET UNIT 507 Brooklyn, NY 11201 United States",2015,,"CNBC,Google Finance","https://www.google.com/finance/quote/MGRM:NASDAQ?hl=en,https://www.cnbc.com/quotes/MGRM",no
MGRX,Mangoceuticals Inc. Common Stock,24054170.0,Jacob Cohen,3,"Dallas, TexasUnited States",2021,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MGRX,https://www.google.com/finance/quote/MGRX:NASDAQ?hl=en",no
MGTX,MeiraGTx Holdings plc Ordinary Shares,411470638.0,Alexandria Forbes,372,"New York, New YorkUnited States",2015,,Google Finance,https://www.google.com/finance/quote/MGTX:NASDAQ?hl=en,no
MGX,Metagenomi Inc. Common Stock,63548542.0,Brian Thomas Ph.D.,176,"Emeryville, CaliforniaUnited States",2016,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MGX,https://www.google.com/finance/quote/MGX:NASDAQ?hl=en",no
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,4138156837.0,,252,"Houston, TexasUnited States",2017,,Google Finance,https://www.google.com/finance/quote/MGY:NYSE?hl=en,
MGYR,Magyar Bancorp Inc. Common Stock,102888073.0,,96,"New Brunswick, New JerseyUnited States",1922,,Google Finance,https://www.google.com/finance/quote/MGYR:NASDAQ?hl=en,
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,1661676801.0,,,"Wilmington, DelawareUnited States",2010,,Google Finance,https://www.google.com/finance/quote/MHD:NYSE?hl=en,
MHF,Western Asset Municipal High Income Fund Inc. Common Stock,0.0,Jane Trust,,"620 Eighth Avenue, 47th Floor New York, NY 10018 United States",1992,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MHF,https://www.google.com/finance/quote/MHF:NYSE?hl=en",no
MHH,Mastech Digital Inc Common Stock,91764262.0,Nirav Patel,,"Building 210 1305 Cherrington Pkwy Ste 400 Moon Township, PA 15108-4355 United States",,,CNBC,https://www.cnbc.com/quotes/MHH,yes
MHI,Pioneer Municipal High Income Fund Inc.,0.0,,,"Boston, MassachusettsUnited States",2003,,Google Finance,https://www.google.com/finance/quote/MHI:NYSE?hl=en,
MHK,Mohawk Industries Inc. Common Stock,6290609262.0,Jeffrey LorberbaumJeffrey Lorberbaum,"41,900","Calhoun, GeorgiaUnited States",1878,,Google Finance,https://www.google.com/finance/quote/MHK:NYSE?hl=en,no
MHLA,Maiden Holdings Ltd. 6.625% Notes due 2046,1465335837.0,,42,"48 Par-La-Ville Road, Suite 1141 Hamilton HM 11 Bermuda",2007,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MHLA,https://www.google.com/finance/quote/MHLA:NYSE?hl=en",
MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,1453409342.0,,,"Wilmington, DelawareUnited States",1997,,Google Finance,https://www.google.com/finance/quote/MHN:NYSE?hl=en,
MHNC,Maiden Holdings North America Ltd. 7.75% Notes due 2043,1714542612.0,,,,,,,,
MHO,M/I Homes Inc. Common Stock,2855419425.0,Robert H Schottenstein,"1,760","Columbus, OhioUnited States",1976,,Google Finance,https://www.google.com/finance/quote/MHO:NYSE?hl=en,no
MHUA,Meihua International Medical Technologies Co. Ltd. Ordinary Shares,14516533.0,,619,"88 Tongda Road Touqiao Town, Guangling District Yangzhou, JNG 225000 China",1991,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MHUA,https://www.google.com/finance/quote/MHUA:NASDAQ?hl=en",
MI,NFT Limited Class A Ordinary Share,12409618.0,Kuangtao Wang,,"Cricket Square, Hutchins Drive, PO Box 2681 Grand Cayman KY1-1111 Hong Kong",,,CNBC,https://www.cnbc.com/quotes/MI,no
MIDD,Middleby Corporation (The) Common Stock,7815254664.0,Timothy John Fitzgerald,"10,616","1400 Toastmaster Dr Elgin, IL 60120-9274 United States",1888,,"CNBC,Google Finance","https://www.google.com/finance/quote/MIDD:NASDAQ?hl=en,https://www.cnbc.com/quotes/MIDD",no
MIGI,Mawson Infrastructure Group Inc. Common Stock,11286220.0,,33,"201 Clark Street Sharon, PA 16146 United States",2012,,"CNBC,Google Finance","https://www.google.com/finance/quote/MIGI:NASDAQ?hl=en,https://www.cnbc.com/quotes/MIGI",
MIMI,Mint Incorporation Limited Class A Ordinary Shares,131950000.0,,15,"503 Park Tower 15 Austin Road, Tsim Sha Tsui, Kowloon Tortola VG 1110 Hong Kong",2018,,"CNBC,Google Finance","https://www.google.com/finance/quote/MIMI:NASDAQ?hl=en,https://www.cnbc.com/quotes/MIMI",
MIN,MFS Intermediate Income Trust Common Stock,307926026.0,,,"Boston, MassachusettsUnited States",1987,,Google Finance,https://www.google.com/finance/quote/MIN:NYSE?hl=en,
MIND,MIND Technology Inc. Common Stock (DE),48374385.0,,146,"2002 Timberloch Place, Suite 550 The Woodlands, TX 77380-1187 United States","Jan 29, 1987",,"CNBC,Google Finance","https://www.google.com/finance/quote/MIND:NASDAQ?hl=en,https://www.cnbc.com/quotes/MIND",
MIO,Pioneer Municipal High Income Opportunities Fund Inc. Common Stock,0.0,,,"Boston, MassachusettsUnited States",2021,,Google Finance,https://www.google.com/finance/quote/MIO:NYSE?hl=en,
MIR,Mirion Technologies Inc. Class A Common Stock,4429805910.0,Thomas Logan,"2,800","San Ramon, CaliforniaUnited States",2005,,"CNBC,Google Finance","https://www.google.com/finance/quote/MIR:NYSE?hl=en,https://www.cnbc.com/quotes/MIR",no
MIRA,MIRA Pharmaceuticals Inc. Common Stock,22841491.0,Erez Aminov,3,"Miami, FloridaUnited States",2020,,"CNBC,Google Finance","https://www.google.com/finance/quote/MIRA:NASDAQ?hl=en,https://www.cnbc.com/quotes/MIRA",no
MIRM,Mirum Pharmaceuticals Inc. Common Stock,2202313162.0,,334,"Foster City, CaliforniaUnited States",2018,,Google Finance,https://www.google.com/finance/quote/MIRM:NASDAQ?hl=en,
MIST,Milestone Pharmaceuticals Inc. Common Shares,86612122.0,,33,"420-1111 boul. Dr.-Frederik-Philips Montreal, QC H4M 2X6 Canada",2003,,"CNBC,Google Finance","https://www.google.com/finance/quote/MIST:NASDAQ?hl=en,https://www.cnbc.com/quotes/MIST",
MITK,Mitek Systems Inc. Common Stock,427847885.0,,598,"Suite 100, 600 B Street San Diego, CA 92101 United States",1986,,"CNBC,Google Finance","https://www.google.com/finance/quote/MITK:NASDAQ?hl=en,https://www.cnbc.com/quotes/MITK",
MITN,AG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,744694897.0,T. Durkin,,"245 Park Avenue, 26th Floor New York, NY 10167 United States",2011,,"CNBC,Google Finance","https://www.google.com/finance/quote/MITN:NYSE?hl=en,https://www.cnbc.com/quotes/MITN",no
MITP,AG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,735849951.0,T. Durkin,,"245 Park Avenue, 26th Floor New York, NY 10167 United States",2011,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MITP,https://www.google.com/finance/quote/MITP:NYSE?hl=en",no
MITQ,Moving iMage Technologies Inc. Common Stock,5802262.0,Philip Rafnson,,"17760 Newhope Street Fountain Valley, CA 92708 United States",,,CNBC,https://www.cnbc.com/quotes/MITQ,no
MITT,AG Mortgage Investment Trust Inc. Common Stock,206547340.0,T. Durkin,,"245 Park Avenue, 26th Floor New York, NY 10167 United States",2011,Mortgage REITs,"CNBC,Market Watch,Google Finance","https://www.cnbc.com/quotes/MITT,https://www.marketwatch.com/investing/stock/MITT/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/MITT:NYSE?hl=en",no
MITT^A,AG Mortgage Investment Trust Inc. 8.25% Preferred Series A,,T. Durkin,,"245 Park Avenue, 26th Floor New York, NY 10167 United States",2011,Mortgage REITs,"CNBC,Market Watch,Google Finance","https://www.cnbc.com/quotes/MITT,https://www.marketwatch.com/investing/stock/MITT/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/MITT:NYSE?hl=en",no
MITT^B,AG Mortgage Investment Trust Inc. Preferred Series B,,T. Durkin,,"245 Park Avenue, 26th Floor New York, NY 10167 United States",2011,Mortgage REITs,"CNBC,Market Watch,Google Finance","https://www.cnbc.com/quotes/MITT,https://www.marketwatch.com/investing/stock/MITT/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/MITT:NYSE?hl=en",no
MITT^C,AG Mortgage Investment Trust Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,,T. Durkin,,"245 Park Avenue, 26th Floor New York, NY 10167 United States",2011,Mortgage REITs,"CNBC,Market Watch,Google Finance","https://www.cnbc.com/quotes/MITT,https://www.marketwatch.com/investing/stock/MITT/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/MITT:NYSE?hl=en",no
MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,1697379794.0,John M. Perlowski,,"Wilmington, DelawareUnited States","Oct 30, 1992",Closed-End Funds,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/MIY/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/MIY:NYSE?hl=en",no
MKC,McCormick & Company Incorporated Common Stock,19505244656.0,Brendan Foley,"14,100","Hunt Valley, MarylandUnited States",1889,,Google Finance,https://www.google.com/finance/quote/MKC:NYSE?hl=en,yes
MKDW,MKDWELL Tech Inc. Ordinary Share,43085803.0,Ming-Chia Huang,88,"Hsinchu Science Park 1F, No.6-2, Duxing Road Hsinchu 300 Taiwan",2022,,"CNBC,Google Finance","https://www.google.com/finance/quote/MKDW:NASDAQ?hl=en,https://www.cnbc.com/quotes/MKDW",no
MKDWW,MKDWELL Tech Inc. Warrants,1450555.0,Ming-Chia Huang,,"Hsinchu Science Park 1F, No.6-2, Duxing Road Hsinchu 300 Taiwan",2023,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MKDWW,https://www.google.com/finance/quote/MKDWW:NASDAQ?hl=en",no
MKL,Markel Group Inc. Common Stock,24629856748.0,Thomas S. Gayner,"22,000","Glen Allen, VirginiaUnited States",1930,,Google Finance,https://www.google.com/finance/quote/MKL:NYSE?hl=en,no
MKSI,MKS Inc. Common Stock,5512663954.0,John T.C. LeeLeo Berlinghieri,"10,200","Andover, MassachusettsUnited States",1961,,Google Finance,https://www.google.com/finance/quote/MKSI:NASDAQ?hl=en,no
MKTW,MarketWise Inc. Class A Common Stock,273752682.0,,439,"667 Madison Avenue, 5Th Floor New York, NY 10065 United States",1999,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MKTW,https://www.google.com/finance/quote/MKTW:NASDAQ?hl=en",
MKTX,MarketAxess Holdings Inc. Common Stock,8115734457.0,Christopher R Concannon,891,"55 Hudson Yards, 15Th Floor New York, NY 10001 United States",2000,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MKTX,https://www.google.com/finance/quote/MKTX:NASDAQ?hl=en",yes
MKZR,MacKenzie Realty Capital Inc. Common Stock,15150653.0,,,"Orinda, CaliforniaUnited States",2012,,Google Finance,https://www.google.com/finance/quote/MKZR:NASDAQ?hl=en,
MLAB,Mesa Laboratories Inc. Common Stock,548926071.0,,730,"Lakewood, ColoradoUnited States",1982,,Google Finance,https://www.google.com/finance/quote/MLAB:NASDAQ?hl=en,
MLAC,Mountain Lake Acquisition Corp. Class A Ordinary Shares,0.0,Paul Grinberg,,"930 Tahoe Blvd, Suite 802 Pmb 45 Incline Village, NV 89451 United States",2024,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MLAC,https://www.google.com/finance/quote/MLAC:NASDAQ?hl=en",yes
MLACU,Mountain Lake Acquisition Corp. Units,0.0,Paul Grinberg,,"930 Tahoe Blvd, Suite 802 Pmb 45 Incline Village, NV 89451 United States",2024,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MLACU,https://www.google.com/finance/quote/MLACU:NASDAQ?hl=en",yes
MLCO,Melco Resorts & Entertainment Limited American Depositary Shares,2672224535.0,Lawrence Ho Yau Lung,"21,784","36/F The Centrium 60 Wyndham Street, Central Hong Kong 00000 Hong Kong",2004,,"CNBC,Google Finance","https://www.google.com/finance/quote/MLCO:NASDAQ?hl=en,https://www.cnbc.com/quotes/MLCO",no
MLEC,Moolec Science SA Ordinary Shares,32101472.0,Robert Bennett,52,"17, Boulevard F.W. Raiffeisan Luxembourg 2411 Luxembourg",2020,,"CNBC,Google Finance","https://www.google.com/finance/quote/MLEC:NASDAQ?hl=en,https://www.cnbc.com/quotes/MLEC",no
MLECW,Moolec Science SA Warrant,49757.0,Robert Bennett,52,"17, Boulevard F.W. Raiffeisan Luxembourg 2411 Luxembourg",2020,,"CNBC,Google Finance","https://www.google.com/finance/quote/MLECW:NASDAQ?hl=en,https://www.cnbc.com/quotes/MLECW",no
MLGO,MicroAlgo Inc. Ordinary Shares,100851376.0,,87,"340 Madison Avenue,19Th Floor Shenzhen, GNG 518052 China",2018,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MLGO,https://www.google.com/finance/quote/MLGO:NASDAQ?hl=en",
MLI,Mueller Industries Inc. Common Stock,8616295721.0,Gregory L. Christopher,"5,168","Memphis, TennesseeUnited States",1917,,Google Finance,https://www.google.com/finance/quote/MLI:NYSE?hl=en,no
MLKN,MillerKnoll Inc. Common Stock,1142884282.0,Andi Owen,"10,200","Zeeland, MichiganUnited States",1905,,Google Finance,https://www.google.com/finance/quote/MLKN:NASDAQ?hl=en,no
MLM,Martin Marietta Materials Inc. Common Stock,33009276793.0,C. Howard Nye,"9,400","Raleigh, North CarolinaUnited States",1993,,Google Finance,https://www.google.com/finance/quote/MLM:NYSE?hl=en,no
MLNK,MeridianLink Inc. Common Stock,1288307976.0,,682,"Costa Mesa, CaliforniaUnited States",1998,,Google Finance,https://www.google.com/finance/quote/MLNK:NYSE?hl=en,
MLP,Maui Land & Pineapple Company Inc. Common Stock,313497497.0,,15,"500 Office Road Lahaina, HI 96761 United States",1909,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MLP,https://www.google.com/finance/quote/MLP:NYSE?hl=en",
MLR,Miller Industries Inc. Common Stock,519449072.0,,"1,701","8503 Hilltop Dr, Ste 100 Ooltewah, TN 37363 United States",1990,,"CNBC,Google Finance","https://www.google.com/finance/quote/MLR:NYSE?hl=en,https://www.cnbc.com/quotes/MLR",
MLSS,Milestone Scientific Inc. Common Stock,72395328.0,Neal Goldman,,"220 S Orange Ave Livingston, NJ 07039-5804 United States",,,CNBC,https://www.cnbc.com/quotes/MLSS,no
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,2504581383.0,,100,"Zug, ZugSwitzerland",2020,,Google Finance,https://www.google.com/finance/quote/MLTX:NASDAQ?hl=en,
MLYS,Mineralys Therapeutics Inc. Common Stock,1015430971.0,,51,"150 N. Radnor Chester Road, Suite F200 Radnor, PA 19087 United States",2019,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MLYS,https://www.google.com/finance/quote/MLYS:NASDAQ?hl=en",
MMA,Mixed Martial Arts Group Limited Ordinary Shares,9151591.0,,,"Level 1 Suite 1, 29-33, The Corso, Manly Manly, NSW 2095 Australia",,,CNBC,https://www.cnbc.com/quotes/MMA,
MMC,Marsh & McLennan Companies Inc. Common Stock,115130768402.0,John Q. Doyle,"90,000","New York, New YorkUnited States",Oct 1871,,Google Finance,https://www.google.com/finance/quote/MMC:NYSE?hl=en,no
MMD,NYLI MacKay DefinedTerm Muni Opportunities Fund Common Shares,0.0,,,"51 MADISON AVENUE New York, NY 10010 United States",2011,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MMD,https://www.google.com/finance/quote/MMD:NYSE?hl=en",
MMI,Marcus & Millichap Inc. Common Stock,1122923769.0,Hessam NadjiHessam Nadji,897,"Calabasas, CaliforniaUnited States",1971,,Google Finance,https://www.google.com/finance/quote/MMI:NYSE?hl=en,no
MMLP,Martin Midstream Partners L.P. Limited Partnership,115603055.0,,"1,679","Kilgore, TexasUnited States",1951,,Google Finance,https://www.google.com/finance/quote/MMLP:NASDAQ?hl=en,
MMM,3M Company Common Stock,79839205053.0,William M. Brown,"61,500","Saint Paul, MinnesotaUnited States","Jun 13, 1902",,Google Finance,https://www.google.com/finance/quote/MMM:NYSE?hl=en,no
MMS,Maximus Inc. Common Stock,4085894921.0,Bruce L. Caswell,"41,100","Attn: Treasury Dept. 1600 Tysons Blvd, #1400 Mclean, VA 22102 United States",1975,,"CNBC,Google Finance","https://www.google.com/finance/quote/MMS:NYSE?hl=en,https://www.cnbc.com/quotes/MMS",no
MMSI,Merit Medical Systems Inc. Common Stock,5616228906.0,Fred P. Lampropoulos,"7,400","South Jordan, UtahUnited States",1987,,Google Finance,https://www.google.com/finance/quote/MMSI:NASDAQ?hl=en,no
MMT,MFS Multimarket Income Trust Common Stock,275113169.0,,,"Boston, MassachusettsUnited States",1987,,Google Finance,https://www.google.com/finance/quote/MMT:NYSE?hl=en,
MMU,Western Asset Managed Municipals Fund Inc. Common Stock,0.0,Jane Trust,,"620 Eighth Avenue, 47th Floor New York, NY 10018 United States",1992,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MMU,https://www.google.com/finance/quote/MMU:NYSE?hl=en",no
MMYT,MakeMyTrip Limited Ordinary Shares,11157194052.0,Rajesh Magow,"4,576","19Th Floor Building No.5,, Dlf Cyber City Gurgaon 122002 India",2000,,"CNBC,Google Finance","https://www.google.com/finance/quote/MMYT:NASDAQ?hl=en,https://www.cnbc.com/quotes/MMYT",no
MNDO,MIND C.T.I. Ltd. Ordinary Shares,30345826.0,Monica Iancu,136,"Yokne'am Illit, North DistrictIsrael",1986,,Google Finance,https://www.google.com/finance/quote/MNDO:NASDAQ?hl=en,yes
MNDR,Mobile-health Network Solutions Class A Ordinary Shares,6122279.0,Pui Pui Teoh,81,"Cricket Square, Hutchins Drive, P.O. Box 2681 Grand Cayman KY1-1111 Cayman Islands",2009,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MNDR,https://www.google.com/finance/quote/MNDR:NASDAQ?hl=en",no
MNDY,monday.com Ltd. Ordinary Shares,15104560024.0,,"2,508",6 Yitzhak Sadeh Street Tel Aviv-yafo 677750 Israel,Feb 2012,,"CNBC,Google Finance","https://www.google.com/finance/quote/MNDY:NASDAQ?hl=en,https://www.cnbc.com/quotes/MNDY",
MNKD,MannKind Corporation Common Stock,1261321336.0,Michael Castagna,405,"Danbury, ConnecticutUnited States",Feb 1991,,Google Finance,https://www.google.com/finance/quote/MNKD:NASDAQ?hl=en,no
MNMD,Mind Medicine (MindMed) Inc. Common Shares,547174286.0,Robert Barrow,74,"One World Trade Center, Suite 8500 New York, NY 10007 United States",2010,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MNMD,https://www.google.com/finance/quote/MNMD:NASDAQ?hl=en",yes
MNOV,Medicinova Inc Common Stock,68174282.0,Yuichi Iwaki,13,"La Jolla, CaliforniaUnited States","Sep 26, 2000",,Google Finance,https://www.google.com/finance/quote/MNOV:NASDAQ?hl=en,no
MNPR,Monopar Therapeutics Inc. Common Stock,194035740.0,,16,"Wilmette, IllinoisUnited States",2014,,Google Finance,https://www.google.com/finance/quote/MNPR:NASDAQ?hl=en,
MNR,Mach Natural Resources LP Common Units representing Limited Partner Interests,1576240408.0,,505,"Oklahoma City, OklahomaUnited States",2017,,Google Finance,https://www.google.com/finance/quote/MNR:NYSE?hl=en,
MNRO,Monro Inc. Common Stock,459425950.0,Michael Broderick,"7,360","295 WOODCLIFF DRIVE, SUITE 202 Fairport, NY 14450 United States",1957,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MNRO,https://www.google.com/finance/quote/MNRO:NASDAQ?hl=en",no
MNSB,MainStreet Bancshares Inc. Common Stock,145683340.0,Jeff Dick,204,"Fairfax, VirginiaUnited States",2003,,"CNBC,Google Finance","https://www.google.com/finance/quote/MNSB:NASDAQ?hl=en,https://www.cnbc.com/quotes/MNSB",no
MNSBP,MainStreet Bancshares Inc. Depositary Shares,183718170.0,Jeff Dick,204,"Fairfax, VirginiaUnited States",2003,Banking,"CNBC,Market Watch,Google Finance","https://www.cnbc.com/quotes/MNSBP,https://www.google.com/finance/quote/MNSBP:NASDAQ?hl=en,https://www.marketwatch.com/investing/stock/MNSBP/company-profile?mod=mw_quote_tab",no
MNSO,MINISO Group Holding Limited American Depositary Shares each representing four Ordinary Shares,5318204645.0,Guofu Ye,"7,003","25/F, Heye Plaza, No.486 Kangwangzhong Road,Liwan District Guangzhou, GNG 510000 China",2013,Home Goods Retail,"CNBC,Market Watch,Google Finance","https://www.google.com/finance/quote/MNSO:NYSE?hl=en,https://www.cnbc.com/quotes/MNSO,https://www.marketwatch.com/investing/stock/MNSO/company-profile?mod=mw_quote_tab",yes
MNST,Monster Beverage Corporation,62366991868.0,Rodney SacksHilton Schlosberg,"6,043","Corona, CaliforniaUnited States",1935,Non-Alcoholic Beverages/Drinks,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/MNST/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/MNST:NASDAQ?hl=en",no
MNTK,Montauk Renewables Inc. Common Stock,262079482.0,,166,"Pittsburgh, PennsylvaniaUnited States",1980,Renewable Energy Generation,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/MNTK/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/MNTK:NASDAQ?hl=en",
MNTN,MNTN Inc. Class A Common Stock,1950821268.0,,502,,2009,,Google Finance,https://www.google.com/finance/quote/MNTN:NYSE?hl=en,
MNTS,Momentus Inc. Class A Common Stock,9412247.0,John C. Rood,24,"San Jose, CaliforniaUnited States",2017,,Google Finance,https://www.google.com/finance/quote/MNTS:NASDAQ?hl=en,no
MNTSW,Momentus Inc. Warrant,111286.0,John C. Rood,24,"San Jose, CaliforniaUnited States",2017,,Google Finance,https://www.google.com/finance/quote/MNTSW:NASDAQ?hl=en,no
MNY,MoneyHero Limited Class A Ordinary Shares,32057391.0,,286,"70 Shenton Way, #18-15 079118 Singapore",2014,,"CNBC,Google Finance","https://www.google.com/finance/quote/MNY:NASDAQ?hl=en,https://www.cnbc.com/quotes/MNY",
MNYWW,MoneyHero Limited Warrants,1209713.0,,286,"70 Shenton Way, #18-15 079118 Singapore",2014,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MNYWW,https://www.google.com/finance/quote/MNYWW:NASDAQ?hl=en",
MO,Altria Group Inc.,102094624689.0,William F. Gifford,"6,200","Richmond, VirginiaUnited States",1985,,Google Finance,https://www.google.com/finance/quote/MO:NYSE?hl=en,no
MOB,Mobilicom Limited American Depositary Shares,13005416.0,,30,"Atlanta, GeorgiaUnited States",2008,,Google Finance,https://www.google.com/finance/quote/MOB:NASDAQ?hl=en,
MOBBW,Mobilicom Limited Warrants,865159987.0,,30,"Atlanta, GeorgiaUnited States",2008,,Google Finance,https://www.google.com/finance/quote/MOBBW:NASDAQ?hl=en,
MOBX,Mobix Labs Inc. Class A Common Stock,34118239.0,,50,"Irvine, CaliforniaUnited States",2020,,Google Finance,https://www.google.com/finance/quote/MOBX:NASDAQ?hl=en,
MOBXW,Mobix Labs Inc Warrants,5069757.0,,50,"Irvine, CaliforniaUnited States",2020,,Google Finance,https://www.google.com/finance/quote/MOBXW:NASDAQ?hl=en,
MOD,Modine Manufacturing Company Common Stock,4757182976.0,Neil D. Brinker,"11,400","Racine, WisconsinUnited States",1916,,Google Finance,https://www.google.com/finance/quote/MOD:NYSE?hl=en,yes
MODD,Modular Medical Inc. Common Stock,34972089.0,,40,"16772 WEST BERNARDO DRIVE San Diego, CA 92127 United States",1998,,"CNBC,Google Finance","https://www.cnbc.com/quotes/MODD,https://www.google.com/finance/quote/MODD:NASDAQ?hl=en",
MODG,Topgolf Callaway Brands Corp. Common Stock,1164989100.0,Oliver G. Brewer III,"30,000","Carlsbad, CaliforniaUnited States",1982,,Google Finance,https://www.google.com/finance/quote/MODG:NYSE?hl=en,no
MODV,ModivCare Inc. Common Stock,16076278.0,Heath Sampson,"23,675","Denver, ColoradoUnited States",1996,,Google Finance,https://www.google.com/finance/quote/MODV:NASDAQ?hl=en,no
